,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1963,347.4,286.5,271.47,195.88,201.07,119.85,123.82,151.49,128.18,149.07,191.16,255.31
1964,262.6,291.41,302.06,286.7,225.82,164.27,210.77,179.44,216.54,266.83,289.39,256.36
1965,266.46,255.98,295.27,218.08,254.11,158.72,94.08,126.54,111.79,163.69,189.65,273.4
1966,296.57,278.68,344.54,248.72,194.24,163.3,124.89,190.89,140.39,240.3,258.71,289.09
1967,316.97,252.27,229.45,242.23,215.3,166.56,138.72,132.18,118.64,157.55,233.38,293.63
1968,306.42,202.38,304.91,235.29,263.29,186.7,233.12,188.32,153.95,215.53,230.74,324.99
1969,248.84,249.3,274.75,268.6,222.55,181.76,158.83,172.86,155.23,207.61,236.82,289.67
1970,289.73,254.66,299.01,294.06,261.35,204.5,183.54,163.01,214.41,239.37,270.23,305.16
1971,308.79,253.2,256.9,202.26,226.96,214.9,163.56,231.34,242.6,255.33,270.89,288.01
1972,239.98,240.23,269.42,259.49,214.95,130.07,90.31,113.64,110.36,123.67,186.59,269.48
1973,266.37,223.72,319.53,324.08,286.04,214.36,162.92,218.1,284.51,223.42,248.54,323.46
1974,191.92,291.84,233.82,267.96,206.17,174.45,198.36,153.9,262.91,228.32,266.76,259.87
1975,260.06,269.59,284.41,270.53,240.67,183.1,212.16,206.54,243.06,298.76,274.88,294.2
1976,252.48,208.66,284.33,238.49,194.34,158.05,144.04,140.95,117.49,234.14,294.08,262.62
1977,266.14,327.47,259.21,286.17,217.16,196.62,157.45,188.49,130.84,181.97,229.21,288.91
1978,276.88,224.07,324.71,245.62,239.17,204.16,212.2,196.63,230.47,221.5,241.63,316.96
1979,230.15,232.09,256.56,260.55,244,220.25,161.06,125.54,176.85,186.51,279.04,267.79
1980,264.16,244.4,244.39,299.12,243.16,184.35,152.75,190.22,139.51,197.24,255.26,299.18
1981,258.74,239.16,266.33,305.75,278.84,194.23,228.14,96.44,230.47,200.44,263.42,302.84
