,placeId,lokasi,provinsi,city,timezone,latitude,longitude,hari,prediksi_hujan,temperatureMin,temperatureMax,waktu,timestamp,kondisi_siang,kondisi_malam
16,2165e0055850b06a9ebf1ad2096fcd84e32ff4774ed686192ab42c1ba3b5ea95,"Aceh Barat Daya, Aceh, Indonesia",Aceh,Aceh Barat Daya,Asia/Jakarta,3.732,96.832,Minggu,0.0,23.0,29,2023-01-08T07:00:00+0700,2023-01-08 00:00:00,Sebagian Besar Berawan,Berawan
17,2165e0055850b06a9ebf1ad2096fcd84e32ff4774ed686192ab42c1ba3b5ea95,"Aceh Barat Daya, Aceh, Indonesia",Aceh,Aceh Barat Daya,Asia/Jakarta,3.732,96.832,Sabtu,0.25,23.0,28,2023-01-07T07:00:00+0700,2023-01-07 00:00:00,Hujan Ringan Petang,Hujan Ringan Pagi Buta
18,2165e0055850b06a9ebf1ad2096fcd84e32ff4774ed686192ab42c1ba3b5ea95,"Aceh Barat Daya, Aceh, Indonesia",Aceh,Aceh Barat Daya,Asia/Jakarta,3.732,96.832,Jumat,0.25,23.0,29,2023-01-06T07:00:00+0700,2023-01-06 00:00:00,Sebagian Besar Berawan,Hujan Curah
19,2165e0055850b06a9ebf1ad2096fcd84e32ff4774ed686192ab42c1ba3b5ea95,"Aceh Barat Daya, Aceh, Indonesia",Aceh,Aceh Barat Daya,Asia/Jakarta,3.732,96.832,Kamis,0.0,23.0,30,2023-01-05T07:00:00+0700,2023-01-05 00:00:00,Sebagian Besar Berawan,Berawan
20,2165e0055850b06a9ebf1ad2096fcd84e32ff4774ed686192ab42c1ba3b5ea95,"Aceh Barat Daya, Aceh, Indonesia",Aceh,Aceh Barat Daya,Asia/Jakarta,3.732,96.832,Rabu,0.0,23.0,30,2023-01-04T07:00:00+0700,2023-01-04 00:00:00,Berawan,Berawan
21,2165e0055850b06a9ebf1ad2096fcd84e32ff4774ed686192ab42c1ba3b5ea95,"Aceh Barat Daya, Aceh, Indonesia",Aceh,Aceh Barat Daya,Asia/Jakarta,3.732,96.832,Selasa,0.0,23.0,29,2023-01-03T07:00:00+0700,2023-01-03 00:00:00,Berawan,Berawan
22,2165e0055850b06a9ebf1ad2096fcd84e32ff4774ed686192ab42c1ba3b5ea95,"Aceh Barat Daya, Aceh, Indonesia",Aceh,Aceh Barat Daya,Asia/Jakarta,3.732,96.832,Senin,0.0,23.0,30,2023-01-02T07:00:00+0700,2023-01-02 00:00:00,Sebagian Besar Berawan,Berawan
23,2165e0055850b06a9ebf1ad2096fcd84e32ff4774ed686192ab42c1ba3b5ea95,"Aceh Barat Daya, Aceh, Indonesia",Aceh,Aceh Barat Daya,Asia/Jakarta,3.732,96.832,Minggu,0.0,23.0,30,2023-01-01T07:00:00+0700,2023-01-01 00:00:00,Sebagian Besar Berawan,Sebagian Besar Berawan
24,2165e0055850b06a9ebf1ad2096fcd84e32ff4774ed686192ab42c1ba3b5ea95,"Aceh Barat Daya, Aceh, Indonesia",Aceh,Aceh Barat Daya,Asia/Jakarta,3.732,96.832,Sabtu,0.0,22.0,30,2022-12-31T07:00:00+0700,2022-12-31 00:00:00,Sebagian Besar Berawan,Sebagian Besar Berawan
25,2165e0055850b06a9ebf1ad2096fcd84e32ff4774ed686192ab42c1ba3b5ea95,"Aceh Barat Daya, Aceh, Indonesia",Aceh,Aceh Barat Daya,Asia/Jakarta,3.732,96.832,Jumat,0.0,23.0,29,2022-12-30T07:00:00+0700,2022-12-30 00:00:00,Hujan Ringan Petang,Sebagian Besar Berawan
26,2165e0055850b06a9ebf1ad2096fcd84e32ff4774ed686192ab42c1ba3b5ea95,"Aceh Barat Daya, Aceh, Indonesia",Aceh,Aceh Barat Daya,Asia/Jakarta,3.732,96.832,Kamis,0.0,23.0,28,2022-12-29T07:00:00+0700,2022-12-29 00:00:00,Sebagian Besar Berawan,Awan Pagi Buta/Mulai Cerah Larut Malam
27,2165e0055850b06a9ebf1ad2096fcd84e32ff4774ed686192ab42c1ba3b5ea95,"Aceh Barat Daya, Aceh, Indonesia",Aceh,Aceh Barat Daya,Asia/Jakarta,3.732,96.832,Rabu,0.0,23.0,28,2022-12-28T07:00:00+0700,2022-12-28 00:00:00,Berawan,Hujan Ringan Larut Malam
28,2165e0055850b06a9ebf1ad2096fcd84e32ff4774ed686192ab42c1ba3b5ea95,"Aceh Barat Daya, Aceh, Indonesia",Aceh,Aceh Barat Daya,Asia/Jakarta,3.732,96.832,Selasa,0.25,24.0,29,2022-12-27T07:00:00+0700,2022-12-27 00:00:00,Berawan,Hujan Curah Larut Malam
29,2165e0055850b06a9ebf1ad2096fcd84e32ff4774ed686192ab42c1ba3b5ea95,"Aceh Barat Daya, Aceh, Indonesia",Aceh,Aceh Barat Daya,Asia/Jakarta,3.732,96.832,Senin,0.0,24.0,30,2022-12-26T07:00:00+0700,2022-12-26 00:00:00,Sebagian Besar Berawan,Berawan
30,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Selasa,0.0,,29,2023-01-24T07:00:00+0700,2023-01-24 00:00:00,Berawan,
31,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Senin,5.33,22.0,26,2023-01-23T07:00:00+0700,2023-01-23 00:00:00,Hujan,Hujan
32,abf842b4b7f51e76e53bdd2c76cd32452ac40be6480273281bf49cf55cccb0fb,"Aceh Barat, Aceh, Indonesia",Aceh,Aceh Barat,Asia/Jakarta,4.215,96.137,Minggu,0.76,22.0,29,2023-01-22T07:00:00+0700,2023-01-22 00:00:00,Badai Petir Petang,Hujan Larut Malam
