,Indonesia,Nangroe Aceh Darussalam,Bali,Bengkulu,Daerah Istimewa Yogyakarta,Dki Jakarta,Jambi,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Lampung,Nusatenggara Barat,Nusatenggara Timur,Sulawesi Tengah,Sulawesi Tenggara,Sumatera Barat,Sumatera Utara,Bangka Belitung,Banten,Gorontalo,Papua Barat,Jawa Barat,Kepulauan-riau,Maluku,Maluku Utara,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Utara,Sumatera Selatan
1917,2976.76,2540.91,2749.84,2687.05,2619.96,2805.8,2747.82,3313.36,2793.71,3921.63,2603.74,3172.5,2818.45,2842.19,2171.08,2044.15,1980.87,2920.46,2678.85,2842.31,2723.67,3691.99,2246.65,2856.14,3382.51,2965.71,3373.28,2963.93,3250.15,2730.52,2842.5,3094.26,2741.85,2684.56
1918,2569.99,2411.31,1618.94,2531.48,1784.73,2135.1,2400.54,2297.94,1674.72,3068.74,2504.87,2666.35,2895.43,2303.81,1553.9,1710.47,1641.74,1470.13,2231.33,2584.3,2023.59,2792.05,1826.48,2694.46,2408.37,2693.34,1946.64,1853.5,3231.3,2337.22,2653.36,2266.99,1964.45,2251.64
1919,2589.42,2184.4,1762.77,2607.3,2146.68,2395.1,2566.17,2781.92,2218.98,2939.42,2541.22,2704.11,2574.14,2202.96,1555.22,1587.44,1653.62,1617.27,2473.53,2547.2,2179.99,3024.7,1672.67,2919.72,2907.2,2652.6,2186.87,2015.64,3237.07,2413.94,2641.31,2296.27,1550.27,2325.82
1920,2718.7,2480.87,2672.31,2438.23,2595.39,2664.1,2273.97,3184.17,2747.66,3300.78,2593.36,2952.27,2768.49,2499.63,2051.96,1817.32,1757.29,2037.17,2042.93,2441.4,2140.64,3529.66,1812.59,2953.65,3352.77,2490.77,2340.15,2128.69,3288.22,2145.43,2695.96,2559.34,1850.37,2260.13
1921,2827.76,2560.53,2294.26,2383.71,2003.96,2263,2382.52,2542.35,2176.28,3691.84,2570.39,3143.83,2988.75,2433.58,1771.83,1864.24,1806.73,2332.18,1926.53,2673.51,2764.29,2973.13,1929.85,3085.61,2629.05,2892.03,2762.93,2438.52,3352.09,2357.12,2730.91,2697.44,2142.61,2633.92
1922,2690.54,2738.69,2498.07,2311.81,2357.05,2467.3,2178.07,2834.01,2372.89,3164.8,2562.77,2936.95,2853.73,2467.26,1943.73,1697.12,1696.42,1766.51,1747.98,2661.96,2358.87,3209.67,1896.79,2954.71,2938.35,2681.58,2265.14,2077.19,3280.74,2257.14,2650.95,2370.64,2090.58,2409.15
1923,2595.32,2307.1,2184.03,2341.96,2191.28,2190.4,2136.01,2567.8,2069.16,3277.3,2565.96,2919.06,2888.87,2209.98,1511.79,1601.6,1704.4,1710.15,1922.88,2526.01,2133.88,2834.71,1631.6,2447.7,2676.89,2464.09,2363.13,2106.1,3217.8,2136.4,2687.47,2397.59,1540.91,2194.72
1924,2887.17,2611.44,2122.16,2396.67,2368.99,2367.2,2395.17,2840.78,2403.69,3692.44,2578.34,3154.65,3102.87,2346.66,1591.43,1405.11,1877.58,2529.26,2061.13,2682.32,2575.77,3104.92,2150.13,3371.11,3229.95,2846.42,2799.52,2532.47,3356.44,2454.48,2781.3,2857.94,2682.56,2485.1
1925,2647.04,2245.67,1851.62,2426.23,1802.78,1804.8,2502.41,2122.09,1752.29,3240.85,2491.63,2542.62,2881.94,1940.82,1596.21,1639.07,1689.73,1594.24,2211.62,2757.4,2405.68,2262,1861.38,3308.12,2085.08,3058.37,2236.96,2064.95,3320.46,2706.95,2658.45,2321.14,2002.46,2420.38
1926,2677.62,2198.65,2047.92,2554.49,2268.86,2266.6,2460.52,2738.03,2266.75,3438.9,2549.7,2935.81,2656.54,2295.94,1575.98,1587.56,1673.56,1584.95,2397.87,2614.74,2387.25,2862.16,1975.64,2954.47,2744.1,2578.94,2339.36,2151.37,3268.94,2323.72,2646.91,2303.78,2204.87,2433.4
1927,2742.83,2427.33,2127.48,2581.65,2503.6,2504.2,2640.63,2995.14,2370.15,3543.08,2549.48,2907.49,2813.62,2397.25,1689.27,1666.07,1673.62,1737.97,2568.74,2665.98,2576.49,3093.09,1797.33,2573.18,3139,2809.03,2592.2,2338.36,3239.93,2612.54,2641.23,2347.26,1879.61,2549.54
1928,2727.48,2363.27,2310.78,2826.14,2790.76,2502.4,2741.01,3234.47,2494.87,3139.96,2529.81,2775.58,2846.46,2782.79,1831.35,1802.89,1626.94,1604.97,2509.42,2639.51,2929.66,3296.38,2059.88,2535.82,3427.99,2828.76,2068.57,1975.07,3227.86,2511.65,2602.41,2240.81,2402.62,2941.94
1929,2612.08,2063.45,1711.34,2592.38,1776.98,2132.3,2601.21,2156.85,1568.44,3084.87,2506.89,2731.58,2819.84,2178.84,1388.64,1530.5,1640.04,1446.23,2917.8,2557.94,2284.94,2804.19,2022.1,3108.82,2511.25,2438.84,2109.32,2033.16,3264.18,2441.69,2614.12,2182.85,2285.2,2335.09
1930,2607.05,2353.86,2050.07,2645.2,2224.77,2356.1,2671.8,2712.52,2066.1,3213.1,2551.81,2962.85,2605.35,2300.6,1566.48,1300.07,1569.27,1264.02,2950.91,2623.15,2282.31,3078.8,1711.35,2430.45,3037.68,2528.04,2057.61,1902.22,3193.36,2490.92,2578.15,2068.19,1745.95,2346.04
1931,2907.03,2830.41,2086.96,3206.67,2331.68,2690.6,3306.46,2820.43,2216.32,3557.85,2550.98,3081.64,2784.57,2826.12,1435.15,1433.85,1762.95,1996.66,3546.82,3100.82,2658.9,3588.99,1880.3,3017.18,3205.43,2912.84,2382.82,2198.2,3334.63,2938.86,2690.72,2512.94,1938.1,2892.73
1932,2891.31,2704.55,2619.3,2778.71,2346.51,2413.5,2689.05,2791.38,2388.58,3557.77,2577.4,3245.35,3062.33,2592.49,2046.49,1927.88,1733.57,2225.82,2759.6,2993.14,2752.02,3124.06,2267.64,3098.63,2873.05,2635.73,2344.77,2197.53,3258.03,2472.5,2647.66,2549.33,2836.41,2796.4
1933,2879.52,2401.07,2848.83,2821.19,2699.09,2717.6,2836.46,3131.23,2578.84,3617.88,2565.32,3020.49,2842.38,2668.63,2149.34,1991.62,1792.97,2391.29,3083.18,2796.31,2487.36,3600.42,2134.73,2753.49,3276.73,2781.63,3153.34,2720.58,3255.26,2738.92,2683.56,2670.27,2544.49,2515.79
1934,2813.54,2713.92,2745.97,2525.79,2457.68,2239.7,2541.17,2771.08,2438.07,3268.27,2548.14,2796.74,2963.17,2323.96,2145.71,1973.95,1762.62,2264.27,2518.62,2873.73,2185.18,2950.58,2178.08,3223.37,2647.18,2868.24,3153.76,2804.01,3305.67,2612.61,2672.35,2617.19,2647.66,2317.96
1935,2713.64,2565.45,2023.64,2827.23,2012.96,2211.1,2709.69,2316.85,2080.69,3296.4,2529.08,2850.8,2801.07,2168.24,1802.2,1727.98,1761.69,1924.02,2953.93,2889.1,2174.98,2831.51,1938.61,3000.63,2561.78,2509.54,2403.82,2214.82,3202.45,2509.55,2700.14,2515.39,2151.01,2347.25
1936,2827.56,2618.24,2451.45,2727.63,2024.59,2466.6,2597.28,2608.12,2498.15,3351.87,2608.65,3022.54,2865.41,2576.4,1983.78,1706.56,1890.41,2531.68,2655.37,2793.48,2075.15,3274.81,2097.54,3001.84,2948.57,2624.58,2930.35,2579.35,3321.96,2506.66,2787.8,2878.16,2501.47,2360.73
1937,2810.24,2291.35,2385.4,2729.96,2596.51,2760.3,2672.3,2957.97,2345.35,3183.87,2560.47,2833.5,2854.87,2749.91,1860.45,1734.6,1706.09,1805.07,2777.57,2769.99,2344.94,3666.75,1963.86,3087.32,3240.64,2693.38,3307.57,2849.21,3406.97,2596.94,2639.95,2376.87,2140.25,2520.48
1938,2808.65,2212.71,2532.4,2883.59,2592.39,2661.2,2860.02,3250.77,2568.47,3304.01,2579.41,2924.03,2855.22,2772.8,1836.62,1650.28,1782.47,1991.17,3033.44,2412.84,2622.32,3550.78,2000.85,2895.7,3406.67,2672.34,3012.56,2599.91,3261.91,2479.92,2655.67,2492.3,2254.29,2709.86
1939,2724.95,2430.78,2673.74,2685.62,2525.47,2516.2,2707.8,2967.2,2480,2837.85,2553.38,2784.71,2727.46,2543.64,1882.65,2073.61,1722.24,2277.23,2727.43,2676.74,2516.32,3283.81,1971.55,3175.96,2851.68,2725.47,2108.8,1996.88,3290.61,2486.43,2612.66,2521.8,2158.58,2549.41
1940,2551.17,2355.67,1816.09,2603.37,1933.03,2345.1,2481.47,2416.42,1757.05,2623.56,2525.18,2559.56,2595.24,2296.15,1367.7,1496.08,1680.44,2013.73,2865.54,2801.69,1962.48,2986.69,1665.05,2771.95,2737.29,2330.84,2088.58,1912.92,3310.14,2280.84,2636.12,2447.18,1596.38,2239.03
1941,2671.88,2583.29,2298.79,2909.05,2401.24,2331.3,2940.7,2889.06,2357.14,2802.21,2546.87,2724.22,2636.71,2370.53,1730.33,1756.61,1522.65,1272.42,3186.07,3045.77,2380.74,3046.65,1611.78,2675.55,3138.28,2591.48,2309.79,2042.74,3279.03,2673.02,2522.35,2006.37,1457.8,2609.53
1942,2775.28,2459.61,2601.75,2697.12,2696.43,2583.7,2784.16,3038.1,2414.02,3037.6,2564.39,2825.19,2656.86,2659.94,1985.61,1830.24,1817.85,2167.55,2647.4,2687.73,2684.48,3350.67,2098.32,3058.35,3158.33,3050.75,2399.05,2233.96,3301.98,2741.01,2736.45,2655.85,2440.94,2675.45
1943,2783.39,2449.18,2622.23,2713.27,2893.81,2792.8,2587.85,3310.68,2549.17,3260.37,2562.71,2835.45,2638.35,2870.24,1979,1830.24,1817.85,2167.55,2608.99,2512.94,2670.27,3599.31,2098.32,3058.35,3408.45,2415.98,2399.45,2233.96,3339.49,2245.79,2736.45,2655.85,2440.94,2715.04
1944,2649.29,2451.42,1541.59,2674.14,1781.65,2134.7,2524.25,2039.56,1616.21,2815.82,2546.19,2813.3,2611.61,2283.17,1660.9,1830.24,1817.85,2167.55,2613.34,2759.5,2614.74,2722.68,2098.32,3058.35,2399.46,2281.55,2398.68,2233.96,3313.24,2264.69,2736.45,2655.85,2440.94,2602.4
1945,2749.89,2460.83,2268.38,2663.57,2248.17,2193.3,2658.53,2679.34,2233.54,3260.78,2551.9,2832.08,2735.88,2224.38,1811.94,1830.24,1817.85,2167.55,2650.95,2694.82,2608.01,2809.25,2098.32,3058.35,2652.74,2716.33,2401.71,2233.96,3296.9,2585.27,2736.45,2655.85,2440.94,2577.07
1946,2648.84,2547.11,1465.4,2643.99,1962.69,1831.5,2722.87,2261.01,1809.08,2999.17,2535.86,2691.33,2557.92,1974.65,1574.1,1762.71,1811.07,2167.55,2645.96,2714.76,2601.33,2313.51,1913,3058.35,2211.92,2765.17,2391.24,2193.54,3280.57,2510.67,2736.45,2655.85,2069.97,2551.44
1947,2817.28,2949.38,2304.71,2677,2040.4,2475.8,2616.18,2465.29,2129.67,3492.8,2549.03,2832.79,2700.75,2594.7,1739.48,1694.4,1861.1,2333.64,2706.62,3109.52,2699.12,3369.14,1926.37,3068.36,2879.05,2776.76,2619.14,2347.95,3310.63,2647.55,2771.72,2769.26,2057.56,2631.75
1948,2772.9,2132.66,1474.52,2951.94,2048.97,1664.3,3088.04,2396.86,1748.21,3238.62,2896.28,3020.86,2937.07,2080.83,1411.92,1354.16,1795.66,1699.66,3181.02,2402.48,2714.82,2134.68,2154.7,3467.59,2072.06,2965.85,2496.46,2350.35,3327.5,2690.45,2626.19,2157.46,2556.92,2832.72
1949,2775.04,2553.95,2141.31,2496.51,1986.12,2300,2520.96,2476.29,2116.11,3213.87,2799,2833.58,3046.89,2233.42,1718.61,1719.57,1813.29,1953.94,2482.85,2803.65,2515.58,2902.93,2254.05,3085.94,2755.43,2674.05,3014.41,2730.34,3305.71,2452.32,2701.48,2449.47,2776.67,2414.79
